societe|client_fac|client_liv|num_expedition|num_cde|nom_fichier|date
|20415|20415|80271208||BL_20415_20415_80271208_20250730_153501.pdf|
|20415|20415|80282505||BL_20415_20415_80282505_20251103_160753.pdf|
|20419|20419|80274595||BL_20419_20419_80274595_20250911_162743.pdf|
|20419|20419|80281374||BL_20419_20419_80281374_20251024_170340.pdf|
|20419|20419|80281375||BL_20419_20419_80281375_20251024_170332.pdf|
|20419|20419|80282855||BL_20419_20419_80282855_20251105_154834.pdf|
|20422|20422|80270535||BL_20422_20422_80270535_20250724_161633.pdf|
|20422|20422|80271234||BL_20422_20422_80271234_20250730_153546.pdf|
|20422|20422|80282508||BL_20422_20422_80282508_20251103_161144.pdf|
|20424|20424|80271425||BL_20424_20424_80271425_20250731_154707.pdf|
|20424|20424|80271426||BL_20424_20424_80271426_20250731_154703.pdf|
|20424|20424|80271641||BL_20424_20424_80271641_20250825_155054.pdf|
|20424|20424|80272022||BL_20424_20424_80272022_20250804_160406.pdf|
|20424|20424|80274059||BL_20424_20424_80274059_20250909_162527.pdf|
|20424|20424|80274060||BL_20424_20424_80274060_20250909_162522.pdf|
|20424|20424|80275503||BL_20424_20424_80275503_20250918_150315.pdf|
|20424|20424|80277789||BL_20424_20424_80277789_20251002_151803.pdf|
|20424|20424|80279375||BL_20424_20424_80279375_20251014_170017.pdf|
|20428|20428|80269754||BL_20428_20428_80269754_20250721_160241.pdf|
|20428|20428|80271836||BL_20428_20428_80271836_20250825_160434.pdf|
|20428|20428|80273104||BL_20428_20428_80273104_20250902_161948.pdf|
|20428|20428|80273469||BL_20428_20428_80273469_20250903_160314.pdf|
|20428|20428|80273647||BL_20428_20428_80273647_20250905_160558.pdf|
|20428|20428|80276069||BL_20428_20428_80276069_20250924_171747.pdf|
|20428|20428|80279294||BL_20428_20428_80279294_20251014_163715.pdf|
|20428|20428|80280129||BL_20428_20428_80280129_20251017_172216.pdf|
|20428|20428|80282661||BL_20428_20428_80282661_20251104_164626.pdf|
|20428|20428|80283624||BL_20428_20428_80283624_20251113_151936.pdf|
|20430|20430|80268223||BL_20430_20430_80268223_20250707_153513.pdf|
|20430|20430|80269322||BL_20430_20430_80269322_20250716_163113.pdf|
|20430|20430|80269492||BL_20430_20430_80269492_20250717_153200.pdf|
|20430|20430|80270252||BL_20430_20430_80270252_20250723_161932.pdf|
|20430|20430|80271209||BL_20430_20430_80271209_20250730_153459.pdf|
|20430|20430|80272754||BL_20430_20430_80272754_20250827_150315.pdf|
|20430|20430|80273908||BL_20430_20430_80273908_20250905_161642.pdf|
|20430|20430|80281422||BL_20430_20430_80281422_20251024_170930.pdf|
|20430|20430|80283336||BL_20430_20430_80283336_20251112_161723.pdf|
|20432|20432|80269768||BL_20432_20432_80269768_20250721_160339.pdf|
|20432|20432|80270900||BL_20432_20432_80270900_20250728_150410.pdf|
|20432|20432|80271145||BL_20432_20432_80271145_20250730_153132.pdf|
|20432|20432|80271779||BL_20432_20432_80271779_20250825_155944.pdf|
|20432|20432|80271908||BL_20432_20432_80271908_20250801_150256.pdf|
|20432|20432|80275550||BL_20432_20432_80275550_20250919_165032.pdf|
|20432|20432|80275928||BL_20432_20432_80275928_20250923_160321.pdf|
|20432|20432|80277152||BL_20432_20432_80277152_20250929_165527.pdf|
|20432|20432|80278745||BL_20432_20432_80278745_20251010_161643.pdf|
|20432|20432|80280401||BL_20432_20432_80280401_20251020_163618.pdf|
|20432|20432|80281515||BL_20432_20432_80281515_20251027_164838.pdf|
|20432|20432|80282178||BL_20432_20432_80282178_20251030_165100.pdf|
|20435|20435|80275634||BL_20435_20435_80275634_20250919_151655.pdf|
|20435|20435|80276775||BL_20435_20435_80276775_20250926_153954.pdf|
|20435|20435|80277573||BL_20435_20435_80277573_20250930_164315.pdf|
|20435|20435|80277807||BL_20435_20435_80277807_20251002_155601.pdf|
|20435|20435|80281021||BL_20435_20435_80281021_20251022_155837.pdf|
|20440|20440|80268830||BL_20440_20440_80268830_20250710_162112.pdf|
|20441|20441|80269705||BL_20441_20441_80269705_20250718_153941.pdf|
|20441|20441|80270347||BL_20441_20441_80270347_20250723_162454.pdf|
|20441|20441|80274794||BL_20441_20441_80274794_20250912_161322.pdf|
|20441|20441|80275044||BL_20441_20441_80275044_20250916_163223.pdf|
|20441|20441|80281589||BL_20441_20441_80281589_20251027_165320.pdf|
|20441|20441|80282619||BL_20441_20441_80282619_20251104_144627.pdf|
|20442|20442|80271449||BL_20442_20442_80271449_20250731_154831.pdf|
|20442|20442|80276577||BL_20442_20442_80276577_20250925_164301.pdf|
|20442|20442|80280809||BL_20442_20442_80280809_20251022_154947.pdf|
|20444|20444|80270321||BL_20444_20444_80270321_20250723_162425.pdf|
|20444|20444|80274788||BL_20444_20444_80274788_20250912_161342.pdf|
|20446|20446|80270469||BL_20446_20446_80270469_20250724_165223.pdf|
|20446|20446|80276612||BL_20446_20446_80276612_20250925_164413.pdf|
|20446|20446|80282075||BL_20446_20446_80282075_20251030_170607.pdf|
|20447|20447|80270485||BL_20447_20447_80270485_20250724_161656.pdf|
|20447|20447|80273236||BL_20447_20447_80273236_20250902_170704.pdf|
|20447|20447|80275584||BL_20447_20447_80275584_20250919_165633.pdf|
|20447|20447|80281618||BL_20447_20447_80281618_20251027_165637.pdf|
|20448|20448|80268887||BL_20448_20448_80268887_20250710_151835.pdf|
|20448|20448|80272349||BL_20448_20448_80272349_20250807_154843.pdf|
|20448|20448|80275321||BL_20448_20448_80275321_20250917_153434.pdf|
|20448|20448|80275519||BL_20448_20448_80275519_20250918_150319.pdf|
|20448|20448|80282276||BL_20448_20448_80282276_20251031_154948.pdf|
|20449|20449|80268888||BL_20449_20449_80268888_20250710_162752.pdf|
|20449|20449|80270072||BL_20449_20449_80270072_20250722_161705.pdf|
|20449|20449|80272823||BL_20449_20449_80272823_20250828_144703.pdf|
|20450|20450|80271751||BL_20450_20450_80271751_20250825_164048.pdf|
|20450|20450|80272745||BL_20450_20450_80272745_20250827_150338.pdf|
|20450|20450|80273490||BL_20450_20450_80273490_20250903_160529.pdf|
|20450|20450|80276403||BL_20450_20450_80276403_20250924_172408.pdf|
|20450|20450|80280498||BL_20450_20450_80280498_20251020_163754.pdf|
|20450|20450|80280668||BL_20450_20450_80280668_20251022_162109.pdf|
|20451|20451|80270382||BL_20451_20451_80270382_20250723_162532.pdf|
|20451|20451|80271239||BL_20451_20451_80271239_20250730_153540.pdf|
|20451|20451|80271344||BL_20451_20451_80271344_20250731_154619.pdf|
|20451|20451|80271940||BL_20451_20451_80271940_20250801_150226.pdf|
|20451|20451|80271959||BL_20451_20451_80271959_20250801_163057.pdf|
|20451|20451|80273413||BL_20451_20451_80273413_20250903_155923.pdf|
|20451|20451|80273966||BL_20451_20451_80273966_20250905_094531.pdf|
|20451|20451|80273969||BL_20451_20451_80273969_20250905_154717.pdf|
|20451|20451|80276321||BL_20451_20451_80276321_20250924_155303.pdf|
|20451|20451|80278104||BL_20451_20451_80278104_20251006_154805.pdf|
|20451|20451|80279046||BL_20451_20451_80279046_20251013_165130.pdf|
|20452|20452|80271423||BL_20452_20452_80271423_20250731_154714.pdf|
|20452|20452|80272746||BL_20452_20452_80272746_20250827_150336.pdf|
|20452|20452|80277701||BL_20452_20452_80277701_20251002_154718.pdf|
|20452|20452|80279490||BL_20452_20452_80279490_20251015_160300.pdf|
|20452|20452|80281918||BL_20452_20452_80281918_20251029_164012.pdf|
|20452|20452|80282803||BL_20452_20452_80282803_20251105_154718.pdf|
|20454|20454|80268499||BL_20454_20454_80268499_20250708_163340.pdf|
|20454|20454|80274397||BL_20454_20454_80274397_20250910_160445.pdf|
|20454|20454|80275265||BL_20454_20454_80275265_20250916_141608.pdf|
|20454|20454|80277316||BL_20454_20454_80277316_20250929_165946.pdf|
|20454|20454|80278380||BL_20454_20454_80278380_20251008_154624.pdf|
|20454|20454|80280525||BL_20454_20454_80280525_20251020_163838.pdf|
|20454|20454|80281065||BL_20454_20454_80281065_20251022_155953.pdf|
|20455|20455|80270049||BL_20455_20455_80270049_20250722_161628.pdf|
|20455|20455|80270701||BL_20455_20455_80270701_20250725_113220.pdf|
|20455|20455|80273340||BL_20455_20455_80273340_20250902_170950.pdf|
|20455|20455|80276918||BL_20455_20455_80276918_20250929_171237.pdf|
|20455|20455|80281230||BL_20455_20455_80281230_20251023_163126.pdf|
|20459|20459|80271037||BL_20459_20459_80271037_20250729_154609.pdf|
|20459|20459|80274771||BL_20459_20459_80274771_20250912_161133.pdf|
|20459|20459|80280702||BL_20459_20459_80280702_20251017_160231.pdf|
|20459|20459|80280726||BL_20459_20459_80280726_20251020_161957.pdf|
|20459|20459|80280757||BL_20459_20459_80280757_20251020_162051.pdf|
|20459|20459|80282846||BL_20459_20459_80282846_20251105_154739.pdf|
|20461|20461|80269823||BL_20461_20461_80269823_20250721_171807.pdf|
|20461|20461|80271601||BL_20461_20461_80271601_20250825_155035.pdf|
|20461|20461|80272025||BL_20461_20461_80272025_20250804_160401.pdf|
|20461|20461|80272829||BL_20461_20461_80272829_20250828_151716.pdf|
|20461|20461|80274070||BL_20461_20461_80274070_20250909_162437.pdf|
|20461|20461|80282623||BL_20461_20461_80282623_20251104_144635.pdf|
|20461|20461|80282624||BL_20461_20461_80282624_20251104_144636.pdf|
|20463|20463|80271160||BL_20463_20463_80271160_20250730_153305.pdf|
|20463|20463|80272643||BL_20463_20463_80272643_20250826_153410.pdf|
|20463|20463|80273654||BL_20463_20463_80273654_20250905_160515.pdf|
|20463|20463|80277917||BL_20463_20463_80277917_20251003_162022.pdf|
|20463|20463|80279460||BL_20463_20463_80279460_20251015_160217.pdf|
|20463|20463|80282815||BL_20463_20463_80282815_20251105_154806.pdf|
|20463|20463|80283257||BL_20463_20463_80283257_20251107_150248.pdf|
|20464|20464|80268280||BL_20464_20464_80268280_20250707_154055.pdf|
|20464|20464|80275575||BL_20464_20464_80275575_20250919_165234.pdf|
|20464|20464|80277140||BL_20464_20464_80277140_20250929_165438.pdf|
|20464|20464|80280388||BL_20464_20464_80280388_20251020_163516.pdf|
|20464|20464|80281672||BL_20464_20464_80281672_20251029_163441.pdf|
