code_institut|ANNEE|MOIS|CODE_INDICATEUR|LIBELLE_INDICATEUR|VALEUR|MOYENNE|QUARTILE_SUP
49361|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|37,1931952519699|24,98|30,74
49554|2018|5|400_CA_CABINE|CA CABINE|4685,6|8079,37|8866,76
49554|2018|5|200_PANIER_MOYEN|PANIER MOYEN|34,4745562130178|45,7|55,26
49554|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|2342,8|3193,77|4433,38
49554|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|613|1642,54|2260,35
49554|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|12|28,7|29
49554|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|166|150,13|174,75
49554|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|19,5770828327212|28,04|31,66
49554|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|13,0826361618576|20,49|25,46
49699|2018|5|400_CA_CABINE|CA CABINE|4311,88|9490,1|13734,12
49699|2018|5|200_PANIER_MOYEN|PANIER MOYEN|32,0663636363636|49,07|58,12
49699|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4311,88|4557,83|4722,99
49699|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1449,08|2354,7|3311,54
49699|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|10|27,65|34,25
49699|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|260|189,66|238,75
49699|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|23,5980778499135|26,78|31
49699|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|33,6066866424854|24,98|30,74
49831|2018|5|400_CA_CABINE|CA CABINE|5156,13|8079,37|8866,76
49831|2018|5|200_PANIER_MOYEN|PANIER MOYEN|23,5360557768924|45,7|55,26
49831|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|2578,065|3193,77|4433,38
49831|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|373,15|1642,54|2260,35
49831|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|22|28,7|29
49831|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|176|150,13|174,75
49831|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|12,7196553562814|28,04|31,66
49831|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|7,2370169099693|20,49|25,46
50333|2018|5|400_CA_CABINE|CA CABINE|6586,2|9490,1|13734,12
50333|2018|5|200_PANIER_MOYEN|PANIER MOYEN|40,8710900473934|49,07|58,12
50333|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|3293,1|4557,83|4722,99
50333|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1017,04|2354,7|3311,54
50333|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|20|27,65|34,25
50333|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|157,5|189,66|238,75
50333|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|23,6276351492382|26,78|31
50333|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|15,441984756005|24,98|30,74
50443|2018|5|400_CA_CABINE|CA CABINE|4629,53|9490,1|13734,12
50443|2018|5|200_PANIER_MOYEN|PANIER MOYEN|41,4968243243243|49,07|58,12
50443|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4629,53|4557,83|4722,99
50443|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|511,79|2354,7|3311,54
