code_client_facture|code_client_livre|enseigne|adresse1|adresse2|cp|ville|statut
PY20766|PY20766|ANTHEA COUTANCES|3 BIS BLD ALSACE LORRAINE||50200|COUTANCES|0
PY21910|PY21910|INSTITUT SOURCES DE BEAUTE|5 RUE DE LA FONTAINE||65200|BAGNERES DE BIGORRE|0
PY25823|PY25823|BEAUTE D AUR|3 RUE DU BILLADOUR||23400|BOURGANEUF|0
PY22426|PY22426|MME DELIZE VANESSA|7 RUE DE VADEPRE||54470|ESSEY ET MAIZERAIS|0
PY21174|PY21174|LA MAISON DE L ESTHETIQUE|85 AVENUE LANESSAN||69410|CHAMPAGNE AU MONT D OR|0
PY23242|PY23242|LA MAQUILLERIE|19 RUE DU MARECHAL FOCH||03200|VICHY|0
PY22566|PY22566|ANNE INSTITUT|20 RUE DE LA PREE AU DUC||85330|NOIRMOUTIER EN L ILE|0
PY22865|PY22865|BIEN ETRE ET BEAUTE|1 BOULEVARD DU 14 JUILLET||66420|BARCARES|0
PY20624|PY20624|INSTITUT OPALINE|LE POUJEAU LAGNET|ROUTE DE PAUILLAC|33290|LE PIAN MEDOC|0
PY22167|PY22167|EN APPARTE|29 RUE DE METZ||31000|TOULOUSE|0
PY20503|PY20503|SYLVIE ESTHETIQUE|18 AVENUE BEVEZINI||20000|AJACCIO|0
PY25183|PY25183|INSTITUT MARY COHR|14 RUE DE LA REPUBLIQUE||91340|OLLAINVILLE|0
PY20842|PY20842|INSTITUT AU MIMOSA|20 RUE ROGER SALENGRO||62160|BULLY LES MINES|0
PY20440|PY20440|VALERIE ESTHETIQUE|ZONE COMMERCIALE LE MOLIERE|308 AVENUE DU VERCORS|07210|CHOMERAC|0
PY23156|PY23156|BO ZEN|22 AVENUE DE LA MARSEILLAISE||67000|STRASBOURG|0
PY26123|PY26123|L ECHAPPEE BELLE|3 PLACE MAX LEENHARDT||34830|CLAPIERS|0
PY22738|PY22738|PLUMETIS|2 RUE DU PAPE CLEMENT 5||31800|ST GAUDENS|0
PY23458|PY23458|THERY INSTITUT|CENTRE COMMERCIAL DES MUGUETS.|RUE DES MUGUETS|38070|ST QUENTIN FALLAVIER|0
PY20788|PY20788|BEAUTE ESSENTIELLE|5 PLACE DE L'EGLISE||56250|ELVEN|0
PY21470|PY21470|L INSTITUT DE CINDY|17 RUE DES 3 JOURNEES||30130|PONT ST ESPRIT|0
PY26403|PY26403|NOEVA INSTITUT DE BEAUTE|1 RUE VASCO DE GAMA||42190|SAINT NIZIER SOUS CHARLIEU|0
PY26224|PY26224|CHRYS BEAUTE|2 RUE GEORGES LEBIGOT||94800|VILLEJUIF|0
PY21800|PY21800|ANNICK ESTHETIQUE|IMMEUBLE NENASSE|CHEMIN D ACQUALONGA|20167|MEZZAVIA|0
PY21172|PY21172|PERLE DE BEAUTE|2A RUE DE STRASBOURG||67150|ERSTEIN|0
PY20817|PY20817|GRAIN DE BEAUTE|21 B RUE WILSON||59490|SOMAIN|0
PY23108|PY23108|CENTRE DE SOINS ESTHETIQUES|IMMEUBLE L ECRIN PLACE JEAN SIGALLAS||83120|STE MAXIME|0
PY25580|PY25580|COEUR DE BEAUTE|16 RUE DU CHAPEAU ROUGE||21000|DIJON|0
PY21550|PY21550|ESPACE BEAUTE|149 RUE DE LA REPUBLIQUE||39400|MOREZ|0
PY20495|PY20495|ESPACE BEAUTE|3 AVENUE DE LA REPUBLIQUE||17560|BOURCEFRANC LE CHAPUS|0
PY21520|PY21520|LES SOINS DE PAULINE|5 COURS ANATOLE FRANCE||51100|REIMS|0
PY25262|PY25262|GUINOT TROYES|41 BOULEVARD DU 14 JUILLET||10000|TROYES|0
PY22376|PY22376|BELMARINA|83 AVENUE VICTOR TUBY||06140|VENCE|0
PY20685|PY20685|MARY COHR JARDIN DES SOINS|8 COURS BERRIAT||38000|GRENOBLE|0
PY26285|PY26285|L INSTITUT FEMININ|15 RUE ST BRICE||51490|PONTFAVERGER MORONVILLIER|0
PY26233|PY26233|L INSTITUT|11 B RUE DUSEVEL||80000|AMIENS|0
